Reference, Value, Footprint, Datasheet
C1,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C2,22pF,Capacitors_SMD:C_0805_HandSoldering,
C3,22pF,Capacitors_SMD:C_0805_HandSoldering,
C4,0.33uF,Capacitors_SMD:C_0805_HandSoldering,
C5,22uF,Capacitors_SMD:C_0805_HandSoldering,
C6,2.2uF,Capacitors_SMD:C_0805_HandSoldering,
J1,Conn_01x04,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,
J10,CN_I2C,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,
J11,ADC0,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
J12,ADC1,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
J13,ADC2,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
J14,ADC3,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
J15,BOOTMODE,Pin_Headers:Pin_Header_Straight_2x05_Pitch2.54mm,
J2,RPi_GPIO,RPi_Hat:Pin_Header_Straight_2x20,
J3,CN_ICSP,Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm,
J4,Jack-DC,Connect:BARREL_JACK,
J5,GPIO0,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
J6,GPIO1,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
J7,GPIO2,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
J8,GPIO3,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
J9,Conn_01x03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
Q1,2SC3325-Y,TO_SOT_Packages_SMD:SC-59_Handsoldering,
Q2,IRLML6402(SOT-23),TO_SOT_Packages_SMD:SOT-23_Handsoldering,
R1,10K,Resistors_SMD:R_0805_HandSoldering,
R10,1K,Resistors_SMD:R_0805_HandSoldering,
R11,10K,Resistors_SMD:R_0805_HandSoldering,
R12,10K,Resistors_SMD:R_0805_HandSoldering,
R13,10K,Resistors_SMD:R_0805_HandSoldering,
R14,1.8K,Resistors_SMD:R_0805_HandSoldering,
R15,3.3K,Resistors_SMD:R_0805_HandSoldering,
R2,10K,Resistors_SMD:R_0805_HandSoldering,
R3,10K,Resistors_SMD:R_0805_HandSoldering,
R4,10K,Resistors_SMD:R_0805_HandSoldering,
R5,10K,Resistors_SMD:R_0805_HandSoldering,
R6,10K,Resistors_SMD:R_0805_HandSoldering,
R7,10K,Resistors_SMD:R_0805_HandSoldering,
R8,10K,Resistors_SMD:R_0805_HandSoldering,
R9,10K,Resistors_SMD:R_0805_HandSoldering,
SW1,SW_RST,Buttons_Switches_THT:SW_PUSH_6mm,
U1,ATMEGA328P-AU,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,
U2,NJM2884U1,TO_SOT_Packages_SMD:SOT-89-5_Housing_Handsoldering,
Y1,16MHz,Crystals:Crystal_HC49-U_Vertical,
